Date,code,open,high,low,close,volume,dividends,stock splits
2010-06-22,2318.HK,27.618000000000002,27.846,27.471999999999998,27.576,22308068,0.0,0.0
2010-06-23,0001.HK,44.531000000000006,45.00899999999999,44.507,44.938,6877744,0.0,0.0
2010-06-23,0011.HK,68.07600000000001,68.07600000000001,67.69,67.883,1612104,0.0,0.0
2010-06-23,0027.HK,3.9210000000000003,3.998,3.855,3.988,7646000,0.0,0.0
2010-06-23,1398.HK,3.693,3.7239999999999998,3.674,3.693,194500922,0.0,0.0
2010-06-23,1928.HK,8.215,8.267000000000001,8.084,8.215,8102659,0.0,0.0
2010-06-23,2318.HK,27.201999999999998,27.908,27.201999999999998,27.886999999999997,21194484,0.0,0.0
2010-06-24,0001.HK,45.153,45.225,44.913999999999994,45.00899999999999,3629143,0.0,0.0
2010-06-24,0011.HK,68.268,68.268,67.498,67.947,1571829,0.0,0.0
2010-06-24,0027.HK,3.9789999999999996,4.188,3.9789999999999996,4.121,12324830,0.0,0.0
2010-06-24,1398.HK,3.693,3.705,3.668,3.674,150988143,0.0,0.0
2010-06-24,1928.HK,8.123,8.451,8.032,8.11,7187184,0.0,0.0
2010-06-24,2318.HK,27.95,27.95,27.430999999999997,27.741999999999997,12989424,0.0,0.0
2010-06-25,0001.HK,44.722,45.081,44.722,44.985,4243876,0.0,0.0
2010-06-25,0011.HK,67.498,68.14,67.498,67.75399999999999,1705069,0.0,0.0
2010-06-25,0027.HK,4.045,4.14,4.026,4.121,7313000,0.0,0.0
2010-06-25,1398.HK,3.662,3.687,3.637,3.656,194538565,0.0,0.0
2010-06-25,1928.HK,8.097000000000001,8.15,7.77,7.7829999999999995,4615519,0.0,0.0
2010-06-25,2318.HK,27.804000000000002,27.886999999999997,27.180999999999997,27.555,17741834,0.0,0.0
2010-06-28,0001.HK,45.153,45.153,44.411,44.818000000000005,5034453,0.0,0.0
2010-06-28,0011.HK,67.75399999999999,68.07600000000001,67.498,67.819,554704,0.0,0.0
2010-06-28,0027.HK,4.178,4.245,3.96,4.074,7370000,0.0,0.0
2010-06-28,1398.HK,3.6489999999999996,3.681,3.6489999999999996,3.668,138873998,0.0,0.0
2010-06-28,1928.HK,7.7829999999999995,8.019,7.626,7.626,4574400,0.0,0.0
2010-06-28,2318.HK,27.555,27.929000000000002,27.285,27.41,15592832,0.0,0.0
2010-06-29,0001.HK,44.818000000000005,44.86600000000001,43.31,43.645,6372896,0.0,0.0
2010-06-29,0011.HK,68.07600000000001,68.07600000000001,67.305,67.498,1028672,0.0,0.0
2010-06-29,0027.HK,4.112,4.236000000000001,4.074,4.14,12457000,0.0,0.0
