code,in_time,out_time
601238,2013-01-04,2014-12-15
601238,2018-06-11,
601258,2012-01-04,2017-06-12
601268,2011-01-04,2013-01-04
601288,2010-07-29,
601298,2019-06-17,
601299,2010-07-01,2015-05-20
601318,2007-03-15,
601319,2019-06-17,
601328,2007-05-29,
601333,2007-07-02,2019-06-17
601336,2012-07-02,
601360,2018-06-11,
601369,2011-01-04,2014-06-16
601375,2017-06-12,2018-06-11
601377,2011-07-01,
601390,2008-07-01,
601398,2006-11-10,
601519,2011-07-01,2012-07-02
601555,2012-07-02,
601558,2011-07-01,2013-07-01
601566,2012-07-02,2013-01-04
601577,2019-06-17,
601588,2007-07-02,2011-01-04
601600,2007-04-30,
601601,2008-07-01,
601607,2010-07-01,
601607,2005-04-08,2008-07-01
601608,2015-12-14,2018-06-11
601611,2016-12-12,2019-06-17
601618,2010-01-04,
601628,2007-01-23,
601633,2012-07-02,
601658,2020-06-15,
601666,2007-07-02,2014-12-15
601668,2010-01-04,
601669,2012-07-02,
601688,2010-07-01,
601698,2019-12-16,
601699,2007-07-02,2016-06-13
601717,2011-07-01,2014-06-16
601718,2011-07-01,2013-01-04
601718,2015-12-14,2018-12-17
601727,2014-12-15,
601727,2009-07-01,2012-07-02
601766,2009-07-01,
601788,2015-06-15,
601788,2010-07-01,2013-12-16
601800,2013-01-04,
601801,2010-07-01,2011-01-04
601808,2018-06-11,
601808,2008-01-02,2016-12-12
601816,2020-06-15,
601818,2011-01-04,
601828,2018-06-11,
601838,2018-06-11,
601857,2007-11-19,
601866,2008-07-01,2018-12-17
601872,2007-07-02,2011-01-04
601872,2015-12-14,2018-06-11
601877,2010-07-01,2011-07-01
601877,2016-12-12,
601878,2017-12-11,
601881,2017-06-12,
601888,2010-07-01,
601898,2008-07-01,2016-12-12
601898,2017-12-11,
601899,2009-01-05,
601901,2012-07-02,
601916,2020-06-15,
601918,2008-07-01,2014-12-15
601919,2008-01-02,2013-01-04
601919,2015-06-15,
601928,2012-07-02,2017-06-12
601929,2014-06-16,2015-12-14
601933,2011-07-01,
601939,2008-07-01,
601958,2009-01-05,2018-12-17
601966,2017-06-12,2018-06-11
601969,2015-06-15,2016-06-13
601985,2015-12-14,
601988,2006-07-19,
601989,2010-07-01,
601991,2012-01-04,2013-01-04
601991,2017-12-11,2019-06-17
601991,2013-07-01,2014-12-15
601991,2015-06-15,2016-12-12
601991,2007-07-02,2011-01-04
601992,2012-01-04,2016-12-12
601992,2017-06-12,
601997,2017-06-12,
601998,2007-05-18,
603000,2013-12-16,2017-06-12
603019,2019-06-17,
603156,2018-12-17,
603160,2017-06-12,
603259,2018-12-17,
603260,2018-06-11,
603288,2014-12-15,2016-06-13
603288,2018-06-11,
603369,2020-06-15,
603501,2019-12-16,
603658,2020-06-15,
603699,2014-06-16,2015-06-15
603799,2017-12-11,
603833,2017-12-11,
603858,2017-06-12,2019-12-16
603885,2015-12-14,2017-06-12
603899,2019-12-16,
603986,2018-12-17,
603993,2013-07-01,
