code,in_time,out_time
000898,2005-04-08,2013-07-01
000898,2014-12-15,2016-12-12
000900,2005-04-08,2011-07-01
000912,2005-04-08,2010-01-04
000916,2005-04-08,2006-07-03
000917,2005-04-08,2010-07-01
000917,2014-06-16,2017-12-11
000920,2005-04-08,2007-01-04
000921,2005-04-08,2005-07-01
000927,2005-04-08,2012-01-04
000930,2005-04-08,2008-01-02
000932,2005-04-08,2011-01-04
000933,2005-04-08,2014-06-16
000937,2005-04-08,2016-06-13
000938,2016-12-12,
000939,2005-04-08,2007-02-26
000949,2005-04-08,2006-07-03
000951,2008-01-02,2012-01-04
000956,2005-04-08,2006-04-21
000959,2017-06-12,2019-06-17
000959,2005-04-08,2007-01-04
000959,2007-07-02,2011-07-01
000960,2005-04-08,2015-12-14
000961,2010-07-01,2014-12-15
000961,2017-06-12,
000962,2005-04-08,2008-01-02
000963,2013-07-01,
000968,2009-01-05,2013-07-01
000968,2005-04-08,2007-01-04
000969,2006-01-01,2013-12-16
000970,2013-01-04,2015-12-14
000970,2005-04-08,2008-07-01
000975,2005-07-01,2006-07-03
000977,2016-06-13,2017-12-11
000977,2020-06-15,
000983,2005-04-08,2016-06-13
000983,2016-12-12,2019-06-17
000997,2006-07-03,2008-01-02
000999,2009-07-01,2016-12-12
001872,2005-04-08,2007-07-02
001965,2018-06-11,2019-06-17
001979,2015-12-30,
002001,2009-01-05,2015-12-14
002001,2018-12-17,
002007,2010-01-04,
002008,2007-01-04,2008-01-02
002008,2014-06-16,
002010,2019-06-17,2020-06-15
002024,2005-07-01,
002025,2007-01-04,2007-11-19
002027,2016-06-13,
002028,2009-07-01,2012-01-04
002032,2018-12-17,
002038,2012-01-04,2016-06-13
002038,2009-07-01,2010-01-04
002044,2017-06-12,
002049,2016-12-12,2017-12-11
002050,2018-06-11,
002051,2013-07-01,2015-12-14
002051,2007-01-04,2008-01-02
002052,2007-01-04,2007-07-02
002065,2013-12-16,2019-12-16
002069,2011-07-01,2014-06-16
002069,2007-07-02,2008-01-02
002073,2011-07-01,2013-07-01
002074,2016-12-12,2018-12-17
002078,2007-07-02,2008-01-02
002081,2012-07-02,2020-06-15
002083,2007-07-02,2008-01-02
002085,2016-12-12,2017-06-12
002085,2018-06-11,2019-06-17
002092,2011-01-04,2013-12-16
002097,2008-07-01,2009-07-01
002097,2007-07-02,2008-01-02
002106,2011-07-01,2014-12-15
002106,2007-07-02,2008-01-02
002110,2007-07-02,2008-07-01
002120,2018-12-17,
002122,2009-07-01,2013-07-01
002122,2008-01-02,2008-07-01
002128,2008-01-02,2013-12-16
002129,2020-06-15,
002129,2013-12-16,2017-06-12
002131,2016-12-12,2017-12-11
002142,2008-01-02,
002146,2008-07-01,2009-07-01
002146,2011-01-04,
002152,2009-01-05,2009-07-01
002152,2016-06-13,2017-12-11
002153,2014-12-15,
002155,2008-07-01,2014-06-16
002157,2020-06-15,
002174,2016-12-12,2018-06-11
002179,2018-12-17,
002183,2016-06-13,2017-12-11
002194,2009-07-01,2010-01-04
002195,2015-12-14,2017-12-11
002202,2008-07-01,
002230,2013-12-16,
002236,2013-01-04,
002241,2012-07-02,
002242,2009-07-01,2011-07-01
002244,2009-07-01,2012-07-02
002252,2014-06-16,
002269,2009-07-01,2010-01-04
002269,2013-07-01,2014-12-15
002271,2018-12-17,
002275,2010-01-04,2010-07-01
002292,2014-06-16,2018-06-11
002294,2013-07-01,2016-12-12
002294,2017-12-11,2020-06-15
002294,2011-01-04,2012-01-04
002299,2012-01-04,2014-06-16
002299,2016-12-12,2017-12-11
002304,2010-07-01,
002310,2011-07-01,2015-12-14
002310,2016-12-12,2019-12-16
002311,2018-12-17,
002344,2012-01-04,2015-12-14
002352,2017-06-12,
002353,2012-07-02,2016-06-13
002371,2020-06-15,
002375,2013-01-04,2016-06-13
002378,2012-01-04,2013-12-16
002385,2011-01-04,2018-12-17
002399,2011-01-04,2016-12-12
002400,2014-06-16,2015-06-15
002405,2011-01-04,2013-07-01
002410,2014-06-16,2016-06-13
002410,2019-06-17,
002411,2017-06-12,2020-06-15
002415,2011-01-04,
002416,2014-06-16,2015-06-15
002422,2018-12-17,
002422,2011-01-04,2016-12-12
002424,2016-06-13,2018-06-11
002426,2016-12-12,2018-06-11
002429,2014-06-16,2015-06-15
