code,time,price,volume,turnover,ticker_direction,sequence,type,push_data_type
HK.999010,2020-07-30 02:59:40,24914.0,1,24914.0,NEUTRAL,6854979030907617306,AUTO_MATCH,CACHE
HK.999010,2020-07-30 09:14:00,24967.0,20,499340.0,NEUTRAL,6855075495873085997,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24950.0,2,49900.0,SELL,6855075753571123215,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24950.0,2,49900.0,SELL,6855075753571123218,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24950.0,1,24950.0,SELL,6855075753571123229,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24950.0,1,24950.0,SELL,6855075753571123270,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24950.0,1,24950.0,SELL,6855075753571123345,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24950.0,3,74850.0,SELL,6855075753571123348,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24945.0,2,49890.0,SELL,6855075753571123379,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24947.0,2,49894.0,NEUTRAL,6855075753571123494,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24948.0,2,49896.0,NEUTRAL,6855075753571123497,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:00,24938.0,1,24938.0,SELL,6855075753571123638,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24952.0,1,24952.0,BUY,6855075757866090653,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24965.0,1,24965.0,BUY,6855075757866090728,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24962.0,1,24962.0,SELL,6855075757866090775,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24960.0,1,24960.0,SELL,6855075757866090778,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24959.0,2,49918.0,SELL,6855075757866090789,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24962.0,1,24962.0,SELL,6855075757866090820,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24958.0,1,24958.0,SELL,6855075757866090835,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24956.0,1,24956.0,SELL,6855075757866090874,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24954.0,1,24954.0,SELL,6855075757866090877,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24958.0,1,24958.0,SELL,6855075757866090914,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24956.0,1,24956.0,SELL,6855075757866090932,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:01,24952.0,1,24952.0,BUY,6855075757866090987,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24954.0,1,24954.0,BUY,6855075762161057803,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24958.0,1,24958.0,BUY,6855075762161057825,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24960.0,1,24960.0,BUY,6855075762161057828,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24962.0,1,24962.0,BUY,6855075762161057831,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24962.0,1,24962.0,BUY,6855075762161057838,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24960.0,1,24960.0,BUY,6855075762161057845,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24958.0,1,24958.0,BUY,6855075762161057852,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24958.0,1,24958.0,BUY,6855075762161057890,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24960.0,1,24960.0,BUY,6855075762161057909,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24962.0,1,24962.0,BUY,6855075762161057916,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24958.0,1,24958.0,SELL,6855075762161057919,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24956.0,1,24956.0,SELL,6855075762161057942,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:02,24954.0,1,24954.0,SELL,6855075762161057957,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:03,24956.0,1,24956.0,BUY,6855075766456025098,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:03,24956.0,1,24956.0,NEUTRAL,6855075766456025121,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:03,24956.0,15,374340.0,NEUTRAL,6855075766456025151,AUTO_MATCH,REALTIME
HK.999010,2020-07-30 09:15:03,24948.0,1,24948.0,SELL,6855075766456025250,AUTO_MATCH,REALTIME
