code,time_key,cumulative_cash_inflow,holding
HK_FUTURE.999010,2019-07-03 02:56:00,-29029.0,1
HK_FUTURE.999010,2019-07-03 09:32:00,28585.0,-1
HK_FUTURE.999010,2019-07-03 09:38:00,-29065.0,1
HK_FUTURE.999010,2019-07-03 09:55:00,28609.0,-1
HK_FUTURE.999010,2019-07-03 09:59:00,-29109.0,1
HK_FUTURE.999010,2019-07-03 10:04:00,28577.0,-1
HK_FUTURE.999010,2019-07-03 10:08:00,-29191.0,1
HK_FUTURE.999010,2019-07-03 10:16:00,28593.0,-1
HK_FUTURE.999010,2019-07-03 10:18:00,-29211.0,1
HK_FUTURE.999010,2019-07-03 10:27:00,28585.0,-1
HK_FUTURE.999010,2019-07-03 10:37:00,-29147.0,1
HK_FUTURE.999010,2019-07-03 10:39:00,28571.0,-1
HK_FUTURE.999010,2019-07-03 10:52:00,-29139.0,1
HK_FUTURE.999010,2019-07-03 10:57:00,28509.0,-1
HK_FUTURE.999010,2019-07-03 11:03:00,-29197.0,1
HK_FUTURE.999010,2019-07-03 11:14:00,28541.0,-1
HK_FUTURE.999010,2019-07-03 11:31:00,-29139.0,1
HK_FUTURE.999010,2019-07-03 11:42:00,28571.0,-1
HK_FUTURE.999010,2019-07-03 11:46:00,-29167.0,1
HK_FUTURE.999010,2019-07-03 12:00:00,28595.0,-1
HK_FUTURE.999010,2019-07-03 13:13:00,-29153.0,1
HK_FUTURE.999010,2019-07-03 13:24:00,28615.0,-1
HK_FUTURE.999010,2019-07-03 13:32:00,-29137.0,1
HK_FUTURE.999010,2019-07-03 13:35:00,28583.0,-1
HK_FUTURE.999010,2019-07-03 13:53:00,-29115.0,1
HK_FUTURE.999010,2019-07-03 13:54:00,28565.0,-1
HK_FUTURE.999010,2019-07-03 14:01:00,-29141.0,1
HK_FUTURE.999010,2019-07-03 14:06:00,28541.0,-1
HK_FUTURE.999010,2019-07-03 14:17:00,-29155.0,1
HK_FUTURE.999010,2019-07-03 14:24:00,28507.0,-1
HK_FUTURE.999010,2019-07-03 14:37:00,-29155.0,1
HK_FUTURE.999010,2019-07-03 14:57:00,28559.0,-1
HK_FUTURE.999010,2019-07-03 14:59:00,-29181.0,1
HK_FUTURE.999010,2019-07-03 15:23:00,28559.0,-1
HK_FUTURE.999010,2019-07-03 15:35:00,-29203.0,1
HK_FUTURE.999010,2019-07-03 15:42:00,28553.0,-1
HK_FUTURE.999010,2019-07-03 15:55:00,-29203.0,1
HK_FUTURE.999010,2019-07-03 16:18:00,28623.0,-1
HK_FUTURE.999010,2019-07-03 16:30:00,-29217.0,1
HK_FUTURE.999010,2019-07-03 17:31:00,28665.0,-1
HK_FUTURE.999010,2019-07-03 17:45:00,-29191.0,1
HK_FUTURE.999010,2019-07-03 17:46:00,28667.0,-1
HK_FUTURE.999010,2019-07-03 17:55:00,-29183.0,1
HK_FUTURE.999010,2019-07-03 18:00:00,28659.0,-1
HK_FUTURE.999010,2019-07-03 18:10:00,-29191.0,1
HK_FUTURE.999010,2019-07-03 18:17:00,28657.0,-1
HK_FUTURE.999010,2019-07-03 18:20:00,-29187.0,1
HK_FUTURE.999010,2019-07-03 18:24:00,28651.0,-1
HK_FUTURE.999010,2019-07-03 18:33:00,-29193.0,1
HK_FUTURE.999010,2019-07-03 18:37:00,28645.0,-1
HK_FUTURE.999010,2019-07-03 18:42:00,-29203.0,1
HK_FUTURE.999010,2019-07-03 18:54:00,28639.0,-1
HK_FUTURE.999010,2019-07-03 19:00:00,-29217.0,1
HK_FUTURE.999010,2019-07-03 19:06:00,28619.0,-1
HK_FUTURE.999010,2019-07-03 19:13:00,-29227.0,1
HK_FUTURE.999010,2019-07-03 19:18:00,28611.0,-1
HK_FUTURE.999010,2019-07-03 19:28:00,-29215.0,1
HK_FUTURE.999010,2019-07-03 19:29:00,28607.0,-1
HK_FUTURE.999010,2019-07-03 19:37:00,-29217.0,1
HK_FUTURE.999010,2019-07-03 19:51:00,28613.0,-1
HK_FUTURE.999010,2019-07-03 20:09:00,-29187.0,1
HK_FUTURE.999010,2019-07-03 20:13:00,28595.0,-1
HK_FUTURE.999010,2019-07-03 20:22:00,-29191.0,1
HK_FUTURE.999010,2019-07-03 20:28:00,28577.0,-1
HK_FUTURE.999010,2019-07-03 20:33:00,-29205.0,1
HK_FUTURE.999010,2019-07-03 20:36:00,28565.0,-1
HK_FUTURE.999010,2019-07-03 20:49:00,-29211.0,1
